edition,match_number,match_id,stage,team_id,team,opponent,team_match_number,fouls,source_url,source_archive
2014,45,300186469,group,43921,United States,Germany,3,15,https://data.huffingtonpost.com/2014/world-cup/matches/usa-vs-germany-731811,data/raw/2014/huffpost/matches/731811.html
2014,45,300186469,group,43948,Germany,United States,3,9,https://data.huffingtonpost.com/2014/world-cup/matches/usa-vs-germany-731811,data/raw/2014/huffpost/matches/731811.html
2014,46,300186476,group,43860,Ghana,Portugal,3,16,https://data.huffingtonpost.com/2014/world-cup/matches/portugal-vs-ghana-731812,data/raw/2014/huffpost/matches/731812.html
2014,46,300186476,group,43963,Portugal,Ghana,3,21,https://data.huffingtonpost.com/2014/world-cup/matches/portugal-vs-ghana-731812,data/raw/2014/huffpost/matches/731812.html
2014,47,300186480,group,43822,Korea Republic,Belgium,3,16,https://data.huffingtonpost.com/2014/world-cup/matches/south-korea-vs-belgium-731813,data/raw/2014/huffpost/matches/731813.html
2014,47,300186480,group,43935,Belgium,Korea Republic,3,12,https://data.huffingtonpost.com/2014/world-cup/matches/south-korea-vs-belgium-731813,data/raw/2014/huffpost/matches/731813.html
2014,48,300186506,group,43843,Algeria,Russia,3,15,https://data.huffingtonpost.com/2014/world-cup/matches/algeria-vs-russia-731814,data/raw/2014/huffpost/matches/731814.html
2014,48,300186506,group,43965,Russia,Algeria,3,14,https://data.huffingtonpost.com/2014/world-cup/matches/algeria-vs-russia-731814,data/raw/2014/huffpost/matches/731814.html
2014,49,300186487,round_of_16,43924,Brazil,Chile,4,28,https://data.huffingtonpost.com/2014/world-cup/matches/brazil-vs-chile-731815,data/raw/2014/huffpost/matches/731815.html
2014,49,300186487,round_of_16,43925,Chile,Brazil,4,23,https://data.huffingtonpost.com/2014/world-cup/matches/brazil-vs-chile-731815,data/raw/2014/huffpost/matches/731815.html
2014,50,300186491,round_of_16,43926,Colombia,Uruguay,4,19,https://data.huffingtonpost.com/2014/world-cup/matches/colombia-vs-uruguay-731816,data/raw/2014/huffpost/matches/731816.html
2014,50,300186491,round_of_16,43930,Uruguay,Colombia,4,17,https://data.huffingtonpost.com/2014/world-cup/matches/colombia-vs-uruguay-731816,data/raw/2014/huffpost/matches/731816.html
2014,51,300186508,round_of_16,43911,Mexico,Netherlands,4,12,https://data.huffingtonpost.com/2014/world-cup/matches/netherlands-vs-mexico-731817,data/raw/2014/huffpost/matches/731817.html
2014,51,300186508,round_of_16,43960,Netherlands,Mexico,4,8,https://data.huffingtonpost.com/2014/world-cup/matches/netherlands-vs-mexico-731817,data/raw/2014/huffpost/matches/731817.html
2014,52,300186459,round_of_16,43901,Costa Rica,Greece,4,22,https://data.huffingtonpost.com/2014/world-cup/matches/costa-rica-vs-greece-731818,data/raw/2014/huffpost/matches/731818.html
2014,52,300186459,round_of_16,43949,Greece,Costa Rica,4,16,https://data.huffingtonpost.com/2014/world-cup/matches/costa-rica-vs-greece-731818,data/raw/2014/huffpost/matches/731818.html
2014,53,300186462,round_of_16,43876,Nigeria,France,4,15,https://data.huffingtonpost.com/2014/world-cup/matches/france-vs-nigeria-731819,data/raw/2014/huffpost/matches/731819.html
2014,53,300186462,round_of_16,43946,France,Nigeria,4,12,https://data.huffingtonpost.com/2014/world-cup/matches/france-vs-nigeria-731819,data/raw/2014/huffpost/matches/731819.html
