edition,edition_status,ledger,team_id,team,player_id,player,rho,mu,lambda,omega,group_caution_min,group_dismissal_min,group_served_matches,group_served_min,knockout_in_match_min,knockout_accumulation_window_min,knockout_served_matches,knockout_served_min,exp_susp_grp_unweighted_min,exp_susp_unweighted_min,exp_susp_all_unweighted_min,exact_clock_q_min,exp_susp_prime_unweighted_min,exp_susp_grp_min,exp_susp_min,exp_susp_all_min,exp_susp_prime_min
2014,final,full,43935,Belgium,216004,Vincent KOMPANY,2,1.25,0.5,1,0,0,0,0,49,90,0,0,0,139,139,80.08,179.04,0,139,139,179.04
2014,final,full,43935,Belgium,273996,Eden HAZARD,2,1.25,0.5,0.764583333,0,0,0,0,38,0,0,0,0,38,38,43.08,59.54,0,29.054167,29.054167,45.523292
2014,final,full,43935,Belgium,290821,Axel WITSEL,2,1.25,0.5,0.8125,127,0,0,0,0,180,0,0,127,180,307,161.41,387.705,103.1875,146.25,249.4375,315.010312
2014,final,full,43935,Belgium,290824,Steven DEFOUR,2,1.25,0.5,0.140127389,0,100.86,0,0,0,0,1,112.5,100.86,112.5,213.36,0,213.36,14.133248,15.764331,29.89758,29.89758
2014,final,full,43935,Belgium,290825,Moussa DEMBELE,2,1.25,0.5,0.320833333,41,0,0,0,0,180,0,0,41,180,221,166.51,304.255,13.154167,57.75,70.904167,97.615146
2014,final,full,43935,Belgium,290864,Toby ALDERWEIRELD,2,1.25,0.5,0.8125,108,0,0,0,23,157,0,0,108,180,288,170.49,373.245,87.75,146.25,234,303.261563
2014,final,full,43935,Belgium,290904,Jan VERTONGHEN,2,1.25,0.5,0.9375,247,0,0,0,0,180,0,0,247,180,427,191.26,522.63,231.5625,168.75,400.3125,489.965625
2014,final,full,43938,Croatia,214384,EDUARDO,2,1.25,0.5,0.081481481,92,0,0,0,0,0,0,0,92,0,92,4.12,94.06,7.496296,0,7.496296,7.664148
2014,final,full,43938,Croatia,296633,Ivan RAKITIC,2,1.25,0.5,1,82,0,0,0,0,0,0,0,82,0,82,86.1,125.05,82,0,82,125.05
2014,final,full,43938,Croatia,297373,Vedran CORLUKA,2,1.25,0.5,1,205,0,0,0,0,0,0,0,205,0,205,29.93,219.965,205,0,205,219.965
2014,final,full,43938,Croatia,312432,Dejan Lovren,2,1.25,0.5,1,202,0,0,0,0,0,0,0,202,0,202,26.93,215.465,202,0,202,215.465
