edition,team_id,team,player_id,player,played_minutes,team_nominal_minutes,suspension_unavailable_minutes,injury_unavailable_minutes,union_unavailable_minutes,opportunity_denominator_minutes,omega
2018,43901,Costa Rica,236536,Kendall WASTON,90,270,0,0,0,270,0.333333333
2018,43901,Costa Rica,270143,David GUZMAN,246,270,0,0,0,270,0.911111111
2018,43901,Costa Rica,307026,Cristian GAMBOA,255,270,0,0,0,270,0.944444444
2018,43901,Costa Rica,307529,Joel CAMPBELL,114,270,0,0,0,270,0.422222222
2018,43901,Costa Rica,339447,Johnny ACOSTA,270,270,0,0,0,270,1
2018,43901,Costa Rica,339797,Francisco CALVO,105,270,0,0,0,270,0.388888889
2018,43911,Mexico,238112,Hector MORENO,270,360,90,0,90,270,1
2018,43911,Mexico,251352,Andres GUARDADO,307,360,0,0,0,360,0.852777778
2018,43911,Mexico,329092,Hector HERRERA,360,360,0,0,0,360,1
2018,43911,Mexico,371044,Miguel LAYUN,313,360,0,0,0,360,0.869444444
2018,43911,Mexico,395518,Carlos SALCEDO,360,360,0,0,0,360,1
2018,43911,Mexico,400634,Edson ALVAREZ,267,360,0,0,0,360,0.741666667
2018,43911,Mexico,402772,Jesus GALLARDO,335,360,0,0,0,360,0.930555556
2018,43914,Panama,197912,Gabriel GOMEZ,249,270,0,0,0,270,0.922222222
2018,43914,Panama,213780,Luis TEJADA,51,270,0,0,0,270,0.188888889
2018,43914,Panama,267700,Armando COOPER,180,270,90,0,90,180,1
2018,43914,Panama,269514,Anibal GODOY,244,270,0,0,0,270,0.903703704
2018,43914,Panama,337232,Eric DAVIS,180,270,0,0,0,270,0.666666667
2018,43914,Panama,385030,Fidel ESCOBAR,270,270,0,0,0,270,1
2018,43914,Panama,385031,Michael MURILLO,180,270,90,0,90,180,1
2018,43914,Panama,400416,Edgar BARCENAS,222,270,0,0,0,270,0.822222222
2018,43914,Panama,411177,Ricardo AVILA,107,270,0,0,0,270,0.396296296
2018,43922,Argentina,182372,Javier MASCHERANO,360,360,0,0,0,360,1
2018,43922,Argentina,229397,Lionel MESSI,360,360,0,0,0,360,1
2018,43922,Argentina,266790,Ever BANEGA,216,360,0,0,0,360,0.6
2018,43922,Argentina,266796,Gabriel MERCADO,270,360,0,0,0,360,0.75
2018,43922,Argentina,308322,Nicolas TAGLIAFICO,350,360,0,0,0,360,0.972222222
2018,43922,Argentina,310116,Nicolas OTAMENDI,360,360,0,0,0,360,1
2018,43922,Argentina,318688,Marcos ROJO,226,360,0,0,0,360,0.627777778
2018,43922,Argentina,401204,Marcos ACUNA,90,360,0,0,0,360,0.25
2018,43924,Brazil,208016,FERNANDINHO,154,450,0,0,0,450,0.342222222
2018,43924,Brazil,217161,FILIPE LUIS,170,450,0,0,0,450,0.377777778
2018,43924,Brazil,266774,FAGNER,360,450,0,0,0,450,0.8
2018,43924,Brazil,308366,PHILIPPE COUTINHO,436,450,0,0,0,450,0.968888889
2018,43924,Brazil,308386,CASEMIRO,330,450,90,0,90,360,0.916666667
2018,43924,Brazil,314197,NEYMAR,450,450,0,0,0,450,1
2018,43926,Colombia,229444,Radamel FALCAO,377,390,0,0,0,390,0.966666667
2018,43926,Colombia,269058,James RODRIGUEZ,152,390,0,238,238,152,1
2018,43926,Colombia,280487,Carlos SANCHEZ,173,390,176,0,176,214,0.808411215
2018,43926,Colombia,309714,Juan CUADRADO,331,390,0,0,0,390,0.848717949
2018,43926,Colombia,315614,Santiago ARIAS,386,390,0,0,0,390,0.98974359
2018,43926,Colombia,349512,Carlos BACCA,90,390,0,0,0,390,0.230769231
2018,43926,Colombia,394377,Wilmar BARRIOS,269,390,0,0,0,390,0.68974359
2018,43926,Colombia,394500,Johan MOJICA,390,390,0,0,0,390,1
2018,43929,Peru,225497,Paolo GUERRERO,208,270,0,0,0,270,0.77037037
2018,43929,Peru,349685,Paolo HURTADO,27,270,0,0,0,270,0.1
2018,43929,Peru,349698,Yoshimar YOTUN,182,270,0,0,0,270,0.674074074
2018,43929,Peru,392903,Renato TAPIA,150,270,0,0,0,270,0.555555556
2018,43929,Peru,397696,Pedro AQUINO,137,270,0,0,0,270,0.507407407
2018,43930,Uruguay,216567,Cristian RODRIGUEZ,165,450,0,0,0,450,0.366666667
2018,43930,Uruguay,386538,Rodrigo BENTANCUR,365,450,0,0,0,450,0.811111111
2018,43935,Belgium,273996,Eden HAZARD,518,630,0,0,0,630,0.822222222
2018,43935,Belgium,290821,Axel WITSEL,540,630,0,0,0,630,0.857142857
2018,43935,Belgium,290864,Toby ALDERWEIRELD,540,630,0,0,0,630,0.857142857
2018,43935,Belgium,290904,Jan VERTONGHEN,540,630,0,0,0,630,0.857142857
2018,43935,Belgium,358120,Kevin DE BRUYNE,540,630,0,0,0,630,0.857142857
2018,43935,Belgium,358122,Thomas MEUNIER,450,630,90,0,90,540,0.833333333
2018,43935,Belgium,401444,Youri TIELEMANS,175,630,0,0,0,630,0.277777778
2018,43935,Belgium,402015,Leander DENDONCKER,90,630,0,0,0,630,0.142857143
2018,43938,Croatia,296633,Ivan RAKITIC,639,720,0,0,0,720,0.8875
2018,43938,Croatia,297373,Vedran CORLUKA,118,720,0,0,0,720,0.163888889
2018,43938,Croatia,299896,Domagoj VIDA,630,720,0,0,0,720,0.875
2018,43938,Croatia,312432,Dejan LOVREN,650,720,0,0,0,720,0.902777778
2018,43938,Croatia,336485,Sime VRSALJKO,607,720,0,0,0,720,0.843055556
2018,43938,Croatia,357988,Ivan STRINIC,512,720,0,0,0,720,0.711111111
2018,43938,Croatia,369057,Marko PJACA,83,720,0,0,0,720,0.115277778
2018,43938,Croatia,369058,Ante REBIC,547,720,0,0,0,720,0.759722222
2018,43938,Croatia,372987,Tin JEDVAJ,90,720,0,0,0,720,0.125
2018,43938,Croatia,375261,Josip PIVARIC,200,720,0,0,0,720,0.277777778
2018,43938,Croatia,375518,Mario MANDZUKIC,608,720,0,0,0,720,0.844444444
2018,43938,Croatia,380000,Marcelo BROZOVIC,458,720,0,0,0,720,0.636111111
2018,43941,Denmark,318485,Mathias JORGENSEN,219,390,0,0,0,390,0.561538462
2018,43941,Denmark,336133,Yussuf Yurary POULSEN,269,390,90,0,90,300,0.896666667
2018,43941,Denmark,372855,Thomas DELANEY,368,390,0,0,0,390,0.943589744
2018,43941,Denmark,395448,Pione SISTO,231,390,0,0,0,390,0.592307692
2018,43942,England,356189,Jordan HENDERSON,482,690,0,0,0,690,0.698550725
2018,43942,England,356750,Kyle WALKER,495,690,0,0,0,690,0.717391304
2018,43942,England,369434,John STONES,646,690,0,0,0,690,0.936231884
2018,43942,England,398743,Jesse LINGARD,527,690,0,0,0,690,0.763768116
2018,43942,England,407498,Harry MAGUIRE,644,690,0,0,0,690,0.933333333
2018,43942,England,411303,Ruben LOFTUS-CHEEK,274,690,0,0,0,690,0.397101449
2018,43946,France,358014,Blaise MATUIDI,336,630,90,0,90,540,0.622222222
2018,43946,France,358015,Olivier GIROUD,546,630,0,0,0,630,0.866666667
2018,43946,France,367388,Paul POGBA,539,630,0,0,0,630,0.855555556
2018,43946,France,389867,Kylian MBAPPE,534,630,0,0,0,630,0.847619048
2018,43946,France,398681,Ngolo KANTE,595,630,0,0,0,630,0.944444444
2018,43946,France,404566,Corentin TOLISSO,194,630,0,0,0,630,0.307936508
2018,43946,France,411470,Lucas HERNANDEZ,590,630,0,0,0,630,0.936507937
2018,43946,France,411471,Benjamin PAVARD,540,630,0,0,0,630,0.857142857
2018,43948,Germany,299442,Jerome BOATENG,172,270,98,0,98,172,1
2018,43948,Germany,311150,Mats HUMMELS,180,270,0,90,90,180,1
2018,43948,Germany,321722,Thomas MUELLER,207,270,0,0,0,270,0.766666667
2018,43951,Iceland,300344,Birkir SAEVARSSON,270,270,0,0,0,270,1
2018,43951,Iceland,300348,Emil HALLFREDSSON,180,270,0,0,0,270,0.666666667
2018,43951,Iceland,359847,Alfred FINNBOGASON,264,270,0,0,0,270,0.977777778
2018,43962,Poland,269735,Grzegorz KRYCHOWIAK,270,270,0,0,0,270,1
2018,43962,Poland,402079,Jacek GORALSKI,180,270,0,0,0,270,0.666666667
2018,43962,Poland,406995,Jan BEDNAREK,224,270,0,0,0,270,0.82962963
2018,43963,Portugal,189810,RICARDO QUARESMA,116,360,0,0,0,360,0.322222222
2018,43963,Portugal,201200,CRISTIANO RONALDO,360,360,0,0,0,360,1
2018,43963,Portugal,319491,ADRIEN SILVA,156,360,0,0,0,360,0.433333333
2018,43963,Portugal,336491,CEDRIC,270,360,0,0,0,360,0.75
2018,43963,Portugal,395206,BRUNO FERNANDES,88,360,0,0,0,360,0.244444444
2018,43963,Portugal,395213,RAPHAEL GUERREIRO,360,360,0,0,0,360,1
2018,43965,Russia,358871,Fedor SMOLOV,219,510,0,0,0,510,0.429411765
2018,43965,Russia,371639,Aleksandr GOLOVIN,402,510,0,0,0,510,0.788235294
2018,43965,Russia,375357,Igor SMOLNIKOV,36,510,174,0,174,336,0.107142857
2018,43965,Russia,379988,Iury GAZINSKY,267,510,0,0,0,510,0.523529412
2018,43965,Russia,404425,Ilya KUTEPOV,510,510,0,0,0,510,1
2018,43965,Russia,404429,Roman ZOBNIN,510,510,0,0,0,510,1
