edition,edition_status,match_number,stage,team_id,team,segment,foul_events,provider,feed_status,source_url
2018,final,12,group,43970,Sweden,01_15_30,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43970,Sweden,02_30_half_time,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43970,Sweden,03_45_60,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43970,Sweden,04_60_75,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43970,Sweden,05_75_full_time,6,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43970,Sweden,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43970,Sweden,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43822,Korea Republic,00_0_15,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43822,Korea Republic,01_15_30,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43822,Korea Republic,02_30_half_time,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43822,Korea Republic,03_45_60,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43822,Korea Republic,04_60_75,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43822,Korea Republic,05_75_full_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43822,Korea Republic,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43822,Korea Republic,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43935,Belgium,00_0_15,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43935,Belgium,01_15_30,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43935,Belgium,02_30_half_time,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43935,Belgium,03_45_60,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43935,Belgium,04_60_75,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43935,Belgium,05_75_full_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43935,Belgium,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43935,Belgium,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43914,Panama,00_0_15,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43914,Panama,01_15_30,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43914,Panama,02_30_half_time,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43914,Panama,03_45_60,6,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43914,Panama,04_60_75,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43914,Panama,05_75_full_time,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43914,Panama,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,13,group,43914,Panama,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43888,Tunisia,00_0_15,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43888,Tunisia,01_15_30,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43888,Tunisia,02_30_half_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43888,Tunisia,03_45_60,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43888,Tunisia,04_60_75,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43888,Tunisia,05_75_full_time,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43888,Tunisia,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43888,Tunisia,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43942,England,00_0_15,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43942,England,01_15_30,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43942,England,02_30_half_time,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43942,England,03_45_60,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43942,England,04_60_75,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43942,England,05_75_full_time,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43942,England,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,14,group,43942,England,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43962,Poland,00_0_15,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43962,Poland,01_15_30,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43962,Poland,02_30_half_time,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43962,Poland,03_45_60,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43962,Poland,04_60_75,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43962,Poland,05_75_full_time,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
