edition,match_number,match_id,date_utc,stage,group_name,home_team_id,home_team,away_team_id,away_team,winner_team_id,winner_team,nominal_minutes,t_end_min,t_end_source,source_url,source_archive
2018,36,300340184,2018-06-25T18:00:00Z,group,Group B,43969,Spain,43872,Morocco,,,90,97,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300340184?language=en,data/raw/2018/fifa/timelines/m036_300340184.json
2018,37,300331512,2018-06-26T14:00:00Z,group,Group C,43941,Denmark,43946,France,,,90,94,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331512?language=en,data/raw/2018/fifa/timelines/m037_300331512.json
2018,38,300331506,2018-06-26T14:00:00Z,group,Group C,43976,Australia,43929,Peru,43929,Peru,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331506?language=en,data/raw/2018/fifa/timelines/m038_300331506.json
2018,39,300331519,2018-06-26T18:00:00Z,group,Group D,43876,Nigeria,43922,Argentina,43922,Argentina,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331519?language=en,data/raw/2018/fifa/timelines/m039_300331519.json
2018,40,300331510,2018-06-26T18:00:00Z,group,Group D,43951,Iceland,43938,Croatia,43938,Croatia,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331510?language=en,data/raw/2018/fifa/timelines/m040_300331510.json
2018,41,300331521,2018-06-27T18:00:00Z,group,Group E,1902465,Serbia,43924,Brazil,43924,Brazil,90,94,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331521?language=en,data/raw/2018/fifa/timelines/m041_300331521.json
2018,42,300331534,2018-06-27T18:00:00Z,group,Group E,43971,Switzerland,43901,Costa Rica,,,90,96,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331534?language=en,data/raw/2018/fifa/timelines/m042_300331534.json
2018,43,300331532,2018-06-27T14:00:00Z,group,Group F,43822,Korea Republic,43948,Germany,43822,Korea Republic,90,100,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331532?language=en,data/raw/2018/fifa/timelines/m043_300331532.json
2018,44,300331548,2018-06-27T14:00:00Z,group,Group F,43911,Mexico,43970,Sweden,43970,Sweden,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331548?language=en,data/raw/2018/fifa/timelines/m044_300331548.json
2018,45,300340182,2018-06-28T18:00:00Z,group,Group G,43942,England,43935,Belgium,43935,Belgium,90,94,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300340182?language=en,data/raw/2018/fifa/timelines/m045_300340182.json
2018,46,300331520,2018-06-28T18:00:00Z,group,Group G,43914,Panama,43888,Tunisia,43888,Tunisia,90,98,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331520?language=en,data/raw/2018/fifa/timelines/m046_300331520.json
2018,47,300331507,2018-06-28T14:00:00Z,group,Group H,43819,Japan,43962,Poland,43962,Poland,90,94,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331507?language=en,data/raw/2018/fifa/timelines/m047_300331507.json
2018,48,300331553,2018-06-28T14:00:00Z,group,Group H,43879,Senegal,43926,Colombia,43926,Colombia,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331553?language=en,data/raw/2018/fifa/timelines/m048_300331553.json
