edition,match_number,match_id,date_utc,stage,venue_side,team_id,team,opponent_team_id,opponent,primary_cohort,in_play_player_cards,fouls,rho,clock_variant,exp_match_min,exp_match_per_foul,opponent_exp_match_min,opponent_exp_match_per_foul,d_exp_match,d_exp_match_per_foul
2014,24,300186500,2014-06-20T16:00:00Z,group,away,43901,Costa Rica,43954,Italy,yes,1,23,2,source_end,23.73,1.031739,25.73,2.573,-2,-1.541261
2014,25,300186514,2014-06-20T19:00:00Z,group,home,43971,Switzerland,43946,France,yes,0,12,2,end_minus_one,0,0,6.22,0.414667,-6.22,-0.414667
2014,25,300186514,2014-06-20T19:00:00Z,group,away,43946,France,43971,Switzerland,yes,1,15,2,end_minus_one,6.22,0.414667,0,0,6.22,0.414667
2014,25,300186514,2014-06-20T19:00:00Z,group,home,43971,Switzerland,43946,France,yes,0,12,2,source_end,0,0,7.22,0.481333,-7.22,-0.481333
2014,25,300186514,2014-06-20T19:00:00Z,group,away,43946,France,43971,Switzerland,yes,1,15,2,source_end,7.22,0.481333,0,0,7.22,0.481333
2014,26,300186463,2014-06-20T22:00:00Z,group,home,43909,Honduras,43927,Ecuador,no,2,15,2,end_minus_one,133.8,8.92,73.2,4.575,60.6,4.345
2014,26,300186463,2014-06-20T22:00:00Z,group,away,43927,Ecuador,43909,Honduras,no,3,16,2,end_minus_one,73.2,4.575,133.8,8.92,-60.6,-4.345
2014,26,300186463,2014-06-20T22:00:00Z,group,home,43909,Honduras,43927,Ecuador,no,2,15,2,source_end,135.8,9.053333,76.2,4.7625,59.6,4.290833
2014,26,300186463,2014-06-20T22:00:00Z,group,away,43927,Ecuador,43909,Honduras,no,3,16,2,source_end,76.2,4.7625,135.8,9.053333,-59.6,-4.290833
2014,27,300186466,2014-06-21T16:00:00Z,group,home,43922,Argentina,43817,Iran,yes,0,7,2,end_minus_one,0,0,63.26,4.518571,-63.26,-4.518571
2014,27,300186466,2014-06-21T16:00:00Z,group,away,43817,Iran,43922,Argentina,no,2,14,2,end_minus_one,63.26,4.518571,0,0,63.26,4.518571
2014,27,300186466,2014-06-21T16:00:00Z,group,home,43922,Argentina,43817,Iran,yes,0,7,2,source_end,0,0,65.26,4.661429,-65.26,-4.661429
2014,27,300186466,2014-06-21T16:00:00Z,group,away,43817,Iran,43922,Argentina,no,2,14,2,source_end,65.26,4.661429,0,0,65.26,4.661429
2014,28,300186511,2014-06-21T22:00:00Z,group,home,43876,Nigeria,44037,Bosnia-Herzegovina,yes,1,9,2,end_minus_one,11.27,1.252222,87.27,12.467143,-76,-11.214921
2014,28,300186511,2014-06-21T22:00:00Z,group,away,44037,Bosnia-Herzegovina,43876,Nigeria,no,1,7,2,end_minus_one,87.27,12.467143,11.27,1.252222,76,11.214921
2014,28,300186511,2014-06-21T22:00:00Z,group,home,43876,Nigeria,44037,Bosnia-Herzegovina,yes,1,9,2,source_end,12.27,1.363333,88.27,12.61,-76,-11.246667
2014,28,300186511,2014-06-21T22:00:00Z,group,away,44037,Bosnia-Herzegovina,43876,Nigeria,no,1,7,2,source_end,88.27,12.61,12.27,1.363333,76,11.246667
2014,29,300186493,2014-06-21T19:00:00Z,group,home,43948,Germany,43860,Ghana,yes,0,11,2,end_minus_one,0,0,0.32,0.018824,-0.32,-0.018824
2014,29,300186493,2014-06-21T19:00:00Z,group,away,43860,Ghana,43948,Germany,no,1,17,2,end_minus_one,0.32,0.018824,0,0,0.32,0.018824
2014,29,300186493,2014-06-21T19:00:00Z,group,home,43948,Germany,43860,Ghana,yes,0,11,2,source_end,0,0,1.32,0.077647,-1.32,-0.077647
2014,29,300186493,2014-06-21T19:00:00Z,group,away,43860,Ghana,43948,Germany,no,1,17,2,source_end,1.32,0.077647,0,0,1.32,0.077647
2014,30,300186483,2014-06-22T22:00:00Z,group,home,43921,United States,43963,Portugal,yes,1,11,2,end_minus_one,20.53,1.866364,0,0,20.53,1.866364
2014,30,300186483,2014-06-22T22:00:00Z,group,away,43963,Portugal,43921,United States,no,0,14,2,end_minus_one,0,0,20.53,1.866364,-20.53,-1.866364
2014,30,300186483,2014-06-22T22:00:00Z,group,home,43921,United States,43963,Portugal,yes,1,11,2,source_end,21.53,1.957273,0,0,21.53,1.957273
2014,30,300186483,2014-06-22T22:00:00Z,group,away,43963,Portugal,43921,United States,no,0,14,2,source_end,0,0,21.53,1.957273,-21.53,-1.957273
2014,31,300186481,2014-06-22T16:00:00Z,group,home,43935,Belgium,43965,Russia,yes,2,14,2,end_minus_one,59.66,4.261429,55.33,6.147778,4.33,-1.886349
2014,31,300186481,2014-06-22T16:00:00Z,group,away,43965,Russia,43935,Belgium,no,1,9,2,end_minus_one,55.33,6.147778,59.66,4.261429,-4.33,1.886349
2014,31,300186481,2014-06-22T16:00:00Z,group,home,43935,Belgium,43965,Russia,yes,2,14,2,source_end,61.66,4.404286,56.33,6.258889,5.33,-1.854603
2014,31,300186481,2014-06-22T16:00:00Z,group,away,43965,Russia,43935,Belgium,no,1,9,2,source_end,56.33,6.258889,61.66,4.404286,-5.33,1.854603
2014,32,300186495,2014-06-22T19:00:00Z,group,home,43822,Korea Republic,43843,Algeria,no,2,13,2,end_minus_one,65.2,5.015385,27.1,1.69375,38.1,3.321635
2014,32,300186495,2014-06-22T19:00:00Z,group,away,43843,Algeria,43822,Korea Republic,yes,1,16,2,end_minus_one,27.1,1.69375,65.2,5.015385,-38.1,-3.321635
2014,32,300186495,2014-06-22T19:00:00Z,group,home,43822,Korea Republic,43843,Algeria,no,2,13,2,source_end,67.2,5.169231,28.1,1.75625,39.1,3.412981
2014,32,300186495,2014-06-22T19:00:00Z,group,away,43843,Algeria,43822,Korea Republic,yes,1,16,2,source_end,28.1,1.75625,67.2,5.169231,-39.1,-3.412981
2014,33,300186472,2014-06-23T20:00:00Z,group,home,43849,Cameroon,43924,Brazil,no,3,14,2,end_minus_one,115.54,8.252857,0,0,115.54,8.252857
2014,33,300186472,2014-06-23T20:00:00Z,group,away,43924,Brazil,43849,Cameroon,yes,0,19,2,end_minus_one,0,0,115.54,8.252857,-115.54,-8.252857
2014,33,300186472,2014-06-23T20:00:00Z,group,home,43849,Cameroon,43924,Brazil,no,3,14,2,source_end,118.54,8.467143,0,0,118.54,8.467143
2014,33,300186472,2014-06-23T20:00:00Z,group,away,43924,Brazil,43849,Cameroon,yes,0,19,2,source_end,0,0,118.54,8.467143,-118.54,-8.467143
2014,34,300186452,2014-06-23T20:00:00Z,group,home,43938,Croatia,43911,Mexico,no,2,17,2,end_minus_one,95.3,5.605882,83.2,6.933333,12.1,-1.327451
2014,34,300186452,2014-06-23T20:00:00Z,group,away,43911,Mexico,43938,Croatia,yes,2,12,2,end_minus_one,83.2,6.933333,95.3,5.605882,-12.1,1.327451
2014,34,300186452,2014-06-23T20:00:00Z,group,home,43938,Croatia,43911,Mexico,no,2,17,2,source_end,98.3,5.782353,85.2,7.1,13.1,-1.317647
2014,34,300186452,2014-06-23T20:00:00Z,group,away,43911,Mexico,43938,Croatia,yes,2,12,2,source_end,85.2,7.1,98.3,5.782353,-13.1,1.317647
2014,35,300186467,2014-06-23T16:00:00Z,group,home,43976,Australia,43969,Spain,no,2,14,2,end_minus_one,6.16,0.44,31.08,3.453333,-24.92,-3.013333
2014,35,300186467,2014-06-23T16:00:00Z,group,away,43969,Spain,43976,Australia,no,1,9,2,end_minus_one,31.08,3.453333,6.16,0.44,24.92,3.013333
2014,35,300186467,2014-06-23T16:00:00Z,group,home,43976,Australia,43969,Spain,no,2,14,2,source_end,8.16,0.582857,32.08,3.564444,-23.92,-2.981587
2014,35,300186467,2014-06-23T16:00:00Z,group,away,43969,Spain,43976,Australia,no,1,9,2,source_end,32.08,3.564444,8.16,0.582857,23.92,2.981587
